staff_code,local_date,canonical_code,notes
STAFF-DEMO-PL-001,2026-08-01,off,
STAFF-DEMO-PL-002,2026-08-01,off,
STAFF-DEMO-PL-003,2026-08-01,off,
STAFF-DEMO-PL-004,2026-08-01,off,
STAFF-DEMO-PL-005,2026-08-01,off,
STAFF-DEMO-PL-006,2026-08-01,off,
STAFF-DEMO-PL-007,2026-08-01,off,
STAFF-DEMO-PL-008,2026-08-01,off,
STAFF-DEMO-PL-009,2026-08-01,off,
STAFF-DEMO-PL-010,2026-08-01,off,
STAFF-DEMO-PL-011,2026-08-01,off,
STAFF-DEMO-PL-012,2026-08-01,off,
STAFF-DEMO-PL-001,2026-08-02,off,
STAFF-DEMO-PL-002,2026-08-02,off,
STAFF-DEMO-PL-003,2026-08-02,off,
STAFF-DEMO-PL-004,2026-08-02,off,
STAFF-DEMO-PL-005,2026-08-02,off,
STAFF-DEMO-PL-006,2026-08-02,off,
STAFF-DEMO-PL-007,2026-08-02,off,
STAFF-DEMO-PL-008,2026-08-02,off,
STAFF-DEMO-PL-009,2026-08-02,off,
STAFF-DEMO-PL-010,2026-08-02,off,
STAFF-DEMO-PL-011,2026-08-02,off,
STAFF-DEMO-PL-012,2026-08-02,off,
STAFF-DEMO-PL-001,2026-08-03,ช,
STAFF-DEMO-PL-002,2026-08-03,MI18,
STAFF-DEMO-PL-003,2026-08-03,IM18,
STAFF-DEMO-PL-004,2026-08-03,BB20,
STAFF-DEMO-PL-005,2026-08-03,HE18,
STAFF-DEMO-PL-006,2026-08-03,CH18,
STAFF-DEMO-PL-007,2026-08-03,MI18,
STAFF-DEMO-PL-008,2026-08-03,F16,
STAFF-DEMO-PL-009,2026-08-03,B17,
STAFF-DEMO-PL-010,2026-08-03,F16,
STAFF-DEMO-PL-011,2026-08-03,off,
STAFF-DEMO-PL-012,2026-08-03,MI20,
STAFF-DEMO-PL-001,2026-08-04,ช,
STAFF-DEMO-PL-002,2026-08-04,MI18,
STAFF-DEMO-PL-003,2026-08-04,IM18,
STAFF-DEMO-PL-004,2026-08-04,BB20,
STAFF-DEMO-PL-005,2026-08-04,HE18,
STAFF-DEMO-PL-006,2026-08-04,CH18,
STAFF-DEMO-PL-007,2026-08-04,off,
STAFF-DEMO-PL-008,2026-08-04,F16,
STAFF-DEMO-PL-009,2026-08-04,B17,
STAFF-DEMO-PL-010,2026-08-04,F16,
STAFF-DEMO-PL-011,2026-08-04,F16,
STAFF-DEMO-PL-012,2026-08-04,MI20,
STAFF-DEMO-PL-001,2026-08-05,ช,
STAFF-DEMO-PL-002,2026-08-05,MI18,
STAFF-DEMO-PL-003,2026-08-05,IM18,
STAFF-DEMO-PL-004,2026-08-05,BB20,
STAFF-DEMO-PL-005,2026-08-05,HE18,
STAFF-DEMO-PL-006,2026-08-05,CH18,
STAFF-DEMO-PL-007,2026-08-05,MI18,
STAFF-DEMO-PL-008,2026-08-05,F16,
STAFF-DEMO-PL-009,2026-08-05,B17,
STAFF-DEMO-PL-010,2026-08-05,F16,
STAFF-DEMO-PL-011,2026-08-05,off,
STAFF-DEMO-PL-012,2026-08-05,MI20,
STAFF-DEMO-PL-001,2026-08-06,ช,
STAFF-DEMO-PL-002,2026-08-06,MI18,
STAFF-DEMO-PL-003,2026-08-06,IM18,
STAFF-DEMO-PL-004,2026-08-06,BB20,
STAFF-DEMO-PL-005,2026-08-06,HE18,
STAFF-DEMO-PL-006,2026-08-06,CH18,
STAFF-DEMO-PL-007,2026-08-06,off,
STAFF-DEMO-PL-008,2026-08-06,F16,
STAFF-DEMO-PL-009,2026-08-06,B17,
