canonical_code,department_code,start_time,end_time,standard_hours,ot_hours,is_night_shift,staff_grade_codes,needs_confirmation,active
off,,,,0,0,false,HEAD|MT|PT|ASSISTANT,false,true
ช,,08:00,16:00,8,0,false,HEAD,false,true
MI20,MI,08:00,20:00,10,2,false,MT,false,true
MI18,MI,08:00,18:00,8,0,false,MT,false,true
IM20,IM,08:00,20:00,10,2,false,MT|PT,false,true
IM18,IM,08:00,18:00,8,0,false,MT|PT,false,true
BB20,BB,08:00,20:00,9,1,false,MT,false,true
CH18,CH,08:00,18:00,8,0,false,MT,false,true
HE18,HE,08:00,18:00,8,0,false,MT,false,true
HE20,HE,08:00,20:00,9,1,false,MT,false,true
INC18,INC,08:00,18:00,8,0,false,MT,true,true
INC20,INC,08:00,20:00,9,1,false,MT,true,true
N1-MI,MI,20:00,08:00,12,0,true,MT,false,true
N1-IM,IM,20:00,08:00,12,0,true,MT,false,true
Set18,Set,08:00,18:00,8,0,false,MT|ASSISTANT,true,true
F16,,08:00,16:00,8,0,false,ASSISTANT,false,true
B17,Set,08:00,17:00,8,0,false,ASSISTANT,false,true
บด,,20:00,08:00,10,0,true,ASSISTANT,false,true
