staff_code,shift_code,level,authorized_date,expiry_date,authorizer_staff_code
STAFF-DEMO-PL-001,,LEAD,2023-01-01,,
STAFF-DEMO-PL-002,MI20,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-002,IM20,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-002,BB20,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-002,CH18,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-002,HE18,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-003,MI20,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-003,IM20,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-003,BB20,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-003,CH18,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-003,HE18,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-004,MI20,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-004,IM20,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-004,BB20,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-004,CH18,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-004,HE18,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-005,MI20,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-005,IM20,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-005,BB20,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-005,CH18,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-005,HE18,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-006,MI20,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-006,IM20,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-006,BB20,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-006,CH18,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-006,HE18,AUTHORIZED,2024-03-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-006,N1-MI,AUTHORIZED,2024-06-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-006,N1-IM,AUTHORIZED,2024-06-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-007,IM20,TRAINEE,2025-01-01,,STAFF-DEMO-PL-003
STAFF-DEMO-PL-012,MI20,AUTHORIZED,2025-06-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-012,IM20,AUTHORIZED,2025-06-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-012,BB20,AUTHORIZED,2025-06-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-012,CH18,AUTHORIZED,2025-06-01,,STAFF-DEMO-PL-001
STAFF-DEMO-PL-012,HE18,AUTHORIZED,2025-06-01,,STAFF-DEMO-PL-001
